"ID","UPA","EventDate","Employer","Address1","Address2","City","State","Zip","Latitude","Longitude","Primary NAICS","Hospitalized","Amputation","Inspection","Final Narrative","Nature","NatureTitle","Part of Body","Part of Body Title","Event","EventTitle","Source","SourceTitle","Secondary Source","Secondary Source Title"
"2015010015","931176",1/1/2015,"FCI Otisville Federal Correctional Institution","Two Mile Drive",,"OTISVILLE","NEW YORK","10963",41.46,-74.53,"922140",1.00,0.00,"1018519","Three correctional facility guards were escorting a restrained federal prison inmate when he became disruptive, requiring the use of force. 
Two guards and the inmate fell onto the Lieutenant's right leg, fracturing his fibula. He was transported to the hospital and released the following day.","111","Fractures","513","Lower leg(s)","1214","Injured by physical contact with person while restraining, subduing-unintentional","5721","Co-worker","5772","Inmate or detainee in custody"
"2015010016","930267",1/1/2015,"Kalahari Manufacturing LLC","171 Progress Drive",,"LAKE DELTON","WISCONSIN","53940",43.59,-89.79,"339999",1.00,0.00,"1016582","Employee in the Machine Shop received second degree burns to the back of his legs after the torch he was using exploded.","1522","Second degree heat (thermal) burns","519","Leg(s), n.e.c.","317","Ignition of vapors, gases, or liquids","7261","Welding, cutting, and blow torches",,
"2015010018","929823",1/1/2015,"Schneider National Bulk Carrier","420 CORAOPOLIS ROAD",,"CORAOPOLIS","PENNSYLVANIA","15108",40.49,-80.11,"484121",1.00,0.00,,"A truck driver fell approximately 4 feet while descending a tanker trailer ladder.  The employee was kept overnight awaiting test results.","10","Traumatic injuries and disorders, unspecified","9999","Nonclassifiable","4331","Other fall to lower level less than 6 feet","8421","Semi, tractor-trailer, tanker truck","741","Ladders-fixed"
"2015010019","929711",1/1/2015,"PEPSI BOTTLING GROUP INC.","4541 HOUSTON AVE.",,"MACON","GEORGIA","31206",32.77,-83.65,"424490",1.00,0.00,"1017194","An employee's leg was pinned between a truck and the powered pallet jack being operated.  The employee was hospitalized for treatment/surgery at Navicent Health.","1972","Soreness, pain, hurt-nonspecified injury","510","Leg(s), unspecified","640","Caught in or compressed by equipment or objects, unspecified","8623","Pallet jack-powered","8420","Truck-motorized freight hauling and utility, unspecified"
"2015010020","929642",1/1/2015,"North American Pipe Corporation","210 South Arch Street",,"JANESVILLE","WISCONSIN","53545",42.67,-89.04,"326122",1.00,0.00,"1016344","An employee working on the Line 6 Auto-Beller reached into the machine to unjam two pipes and got his hand crushed, fracturing three left-hand fingers.","111","Fractures","4429","Finger(s), fingernail(s), n.e.c.","6411","Caught in running equipment or machinery during maintenance, cleaning ","350","Metal, woodworking, and special material machinery, unspecified",,
"2015010021","929709",1/1/2015,"The Home Depot, Inc.","3031 NE Pine Island Road ",,"CAPE CORAL","FLORIDA","33909",26.68,-81.91,"444110",1.00,0.00,,"An employee was hospitalized after slipping and falling while working as a member of the night freight crew, resulting in an injury to his right elbow.","1972","Soreness, pain, hurt-nonspecified injury","422","Elbow(s)","422","Fall on same level due to slipping ","660","Floors, walkways, ground surfaces, unspecified",,
"2015010022","932133",1/1/2015,"Gopher Resource","6505 Jewel Ave ",,"TAMPA","FLORIDA","33619",27.96,-82.38,"331492",0.00,1.00,"1020034","Employee working the flipping machine at the casting line had fingertip amputated after it was crushed by a jammed block.","1311","Amputations","4422","Fingertip(s)","6412","Caught in running equipment or machinery during regular operation","370","Special process machinery, unspecified",,
"2015010023","930028",1/2/2015,"Foster Trucking, Inc.","Wells Ranch, 3314-225-228, Tank Battery",,"GILL","COLORADO","80624",40.47,-104.51,"213112",1.00,0.00,"1020547","Employee sustained burns during line tie-in operations at an oil and gas site.","1520","Heat (thermal) burns, unspecified","9999","Nonclassifiable","9999","Nonclassifiable","9999","Nonclassifiable",,
"2015010024","930006",1/2/2015,"Trinidad Drilling","38734 S CR 200",,"WOODWARD","OKLAHOMA","73801",36.42,-99.43,"213111",1.00,0.00,,"One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection. ","10","Traumatic injuries and disorders, unspecified","9999","Nonclassifiable","620","Struck by object or equipment, unspecified","4813","Tires, except bike",,
"2015010025","933583",1/2/2015,"The Krystal Company","6201 West Colonial Drive",,"ORLANDO","FLORIDA","32808",28.55,-81.46,"722211",0.00,1.00,,"An associate was using a knife to open a bag of chili and cut off her fingertip.","1311","Amputations","4422","Fingertip(s)","6252","Injured by slipping or swinging object held by injured worker","7125","Knives, unspecified or n.e.c.",,
